,module,param,comp,size,shape,prunable
0,bert_model.embeddings.word_embeddings,weight,1.0,23440896,"(30522, 768)",False
1,bert_model.embeddings.position_embeddings,weight,1.0,393216,"(512, 768)",False
2,bert_model.embeddings.token_type_embeddings,weight,1.0,1536,"(2, 768)",False
3,bert_model.embeddings.LayerNorm,weight,1.0,768,"(768,)",False
4,bert_model.embeddings.LayerNorm,bias,1.0,768,"(768,)",False
5,bert_model.encoder.layer.0.attention.self.query,weight,5.2611184068019545,589824,"(768, 768)",True
6,bert_model.encoder.layer.0.attention.self.query,bias,1.1888545172453255,768,"(768,)",True
7,bert_model.encoder.layer.0.attention.self.key,weight,5.500550269249567,589824,"(768, 768)",True
8,bert_model.encoder.layer.0.attention.self.key,bias,inf,768,"(768,)",True
9,bert_model.encoder.layer.0.attention.self.value,weight,17.161511583704957,589824,"(768, 768)",True
10,bert_model.encoder.layer.0.attention.self.value,bias,7.836734388828885,768,"(768,)",True
11,bert_model.encoder.layer.0.attention.output.dense,weight,19.255787235300176,589824,"(768, 768)",True
12,bert_model.encoder.layer.0.attention.output.dense,bias,13.24137887489783,768,"(768,)",True
13,bert_model.encoder.layer.0.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
14,bert_model.encoder.layer.0.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
15,bert_model.encoder.layer.0.intermediate.dense,weight,7.2062675723530205,2359296,"(3072, 768)",True
16,bert_model.encoder.layer.0.intermediate.dense,bias,1.061139896373057,3072,"(3072,)",True
17,bert_model.encoder.layer.0.output.dense,weight,8.61456203979235,2359296,"(768, 3072)",True
18,bert_model.encoder.layer.0.output.dense,bias,2.501628602326021,768,"(768,)",True
19,bert_model.encoder.layer.0.output.LayerNorm,weight,1.0,768,"(768,)",False
20,bert_model.encoder.layer.0.output.LayerNorm,bias,1.0,768,"(768,)",False
21,bert_model.encoder.layer.1.attention.self.query,weight,5.354491445953389,589824,"(768, 768)",True
22,bert_model.encoder.layer.1.attention.self.query,bias,1.8506024776818142,768,"(768,)",True
23,bert_model.encoder.layer.1.attention.self.key,weight,5.405130184413824,589824,"(768, 768)",True
24,bert_model.encoder.layer.1.attention.self.key,bias,inf,768,"(768,)",True
25,bert_model.encoder.layer.1.attention.self.value,weight,18.526369258791892,589824,"(768, 768)",True
26,bert_model.encoder.layer.1.attention.self.value,bias,9.721518752628791,768,"(768,)",True
27,bert_model.encoder.layer.1.attention.output.dense,weight,20.36825678945798,589824,"(768, 768)",True
28,bert_model.encoder.layer.1.attention.output.dense,bias,3.268085000282937,768,"(768,)",True
29,bert_model.encoder.layer.1.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
30,bert_model.encoder.layer.1.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
31,bert_model.encoder.layer.1.intermediate.dense,weight,6.403630598440907,2359296,"(3072, 768)",True
32,bert_model.encoder.layer.1.intermediate.dense,bias,1.1142546245919478,3072,"(3072,)",True
33,bert_model.encoder.layer.1.output.dense,weight,7.497754769327575,2359296,"(768, 3072)",True
34,bert_model.encoder.layer.1.output.dense,bias,3.186721890818429,768,"(768,)",True
35,bert_model.encoder.layer.1.output.LayerNorm,weight,1.0,768,"(768,)",False
36,bert_model.encoder.layer.1.output.LayerNorm,bias,1.0,768,"(768,)",False
37,bert_model.encoder.layer.2.attention.self.query,weight,4.533655173578564,589824,"(768, 768)",True
38,bert_model.encoder.layer.2.attention.self.query,bias,1.7181208053691275,768,"(768,)",True
39,bert_model.encoder.layer.2.attention.self.key,weight,4.7461958006170795,589824,"(768, 768)",True
40,bert_model.encoder.layer.2.attention.self.key,bias,inf,768,"(768,)",True
41,bert_model.encoder.layer.2.attention.self.value,weight,19.36261525239305,589824,"(768, 768)",True
42,bert_model.encoder.layer.2.attention.self.value,bias,6.4,768,"(768,)",True
43,bert_model.encoder.layer.2.attention.output.dense,weight,22.07012241544823,589824,"(768, 768)",True
44,bert_model.encoder.layer.2.attention.output.dense,bias,2.121547006039003,768,"(768,)",True
45,bert_model.encoder.layer.2.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
46,bert_model.encoder.layer.2.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
47,bert_model.encoder.layer.2.intermediate.dense,weight,6.16578874736909,2359296,"(3072, 768)",True
48,bert_model.encoder.layer.2.intermediate.dense,bias,1.1195335027948607,3072,"(3072,)",True
49,bert_model.encoder.layer.2.output.dense,weight,7.209482687494844,2359296,"(768, 3072)",True
50,bert_model.encoder.layer.2.output.dense,bias,2.6391752577319587,768,"(768,)",True
51,bert_model.encoder.layer.2.output.LayerNorm,weight,1.0,768,"(768,)",False
52,bert_model.encoder.layer.2.output.LayerNorm,bias,1.0,768,"(768,)",False
53,bert_model.encoder.layer.3.attention.self.query,weight,5.177346123520871,589824,"(768, 768)",True
54,bert_model.encoder.layer.3.attention.self.query,bias,1.9296481672258936,768,"(768,)",True
55,bert_model.encoder.layer.3.attention.self.key,weight,5.256476615959203,589824,"(768, 768)",True
56,bert_model.encoder.layer.3.attention.self.key,bias,inf,768,"(768,)",True
57,bert_model.encoder.layer.3.attention.self.value,weight,12.806669733373065,589824,"(768, 768)",True
58,bert_model.encoder.layer.3.attention.self.value,bias,15.058823529411764,768,"(768,)",True
59,bert_model.encoder.layer.3.attention.output.dense,weight,16.945069623422214,589824,"(768, 768)",True
60,bert_model.encoder.layer.3.attention.output.dense,bias,2.5346534653465347,768,"(768,)",True
61,bert_model.encoder.layer.3.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
62,bert_model.encoder.layer.3.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
63,bert_model.encoder.layer.3.intermediate.dense,weight,5.969410412229857,2359296,"(3072, 768)",True
64,bert_model.encoder.layer.3.intermediate.dense,bias,1.1756601607347876,3072,"(3072,)",True
65,bert_model.encoder.layer.3.output.dense,weight,6.886484877901613,2359296,"(768, 3072)",True
66,bert_model.encoder.layer.3.output.dense,bias,2.685314613680683,768,"(768,)",True
67,bert_model.encoder.layer.3.output.LayerNorm,weight,1.0,768,"(768,)",False
68,bert_model.encoder.layer.3.output.LayerNorm,bias,1.0,768,"(768,)",False
69,bert_model.encoder.layer.4.attention.self.query,weight,5.360233518760136,589824,"(768, 768)",True
70,bert_model.encoder.layer.4.attention.self.query,bias,1.7375566210701583,768,"(768,)",True
71,bert_model.encoder.layer.4.attention.self.key,weight,5.449022480298011,589824,"(768, 768)",True
72,bert_model.encoder.layer.4.attention.self.key,bias,inf,768,"(768,)",True
73,bert_model.encoder.layer.4.attention.self.value,weight,8.92766427476333,589824,"(768, 768)",True
74,bert_model.encoder.layer.4.attention.self.value,bias,23.272727272727273,768,"(768,)",True
75,bert_model.encoder.layer.4.attention.output.dense,weight,11.272963361325,589824,"(768, 768)",True
76,bert_model.encoder.layer.4.attention.output.dense,bias,8.170212600176129,768,"(768,)",True
77,bert_model.encoder.layer.4.attention.output.LayerNorm,weight,1.0,768,"(768,)",False
78,bert_model.encoder.layer.4.attention.output.LayerNorm,bias,1.0,768,"(768,)",False
79,bert_model.encoder.layer.4.intermediate.dense,weight,5.867917764169193,2359296,"(3072, 768)",True
80,bert_model.encoder.layer.4.intermediate.dense,bias,1.1916214401593486,3072,"(3072,)",True
81,bert_model.encoder.layer.4.output.dense,weight,6.663774182904285,2359296,"(768, 3072)",True
82,bert_model.encoder.layer.4.output.dense,bias,3.710144927536232,768,"(768,)",True
83,bert_model.encoder.layer.4.output.LayerNorm,weight,1.0,768,"(768,)",False
84,bert_model.encoder.layer.4.output.LayerNorm,bias,1.0,768,"(768,)",False
85,bert_model.encoder.layer.5.attention.self.query,weight,5.019906724350318,589824,"(768, 768)",True
86,bert_model.encoder.layer.5.attention.self.query,bias,2.1756374407897914,768,"(768,)",True
87,bert_model.encoder.layer.5.attention.self.key,weight,5.037097639909801,589824,"(768, 768)",True
88,bert_model.encoder.layer.5.attention.self.key,bias,inf,768,"(768,)",True
89,bert_model.encoder.layer.5.attention.self.value,weight,8.8592758558006,589824,"(768, 768)",True
90,bert_model.encoder.layer.5.attention.self.value,bias,21.94285654496175,768,"(768,)",True
